DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up,# Others
03M505,Edward A. Reynolds West Side High School,530,75,0.14,22,15,7,43,10
03M541,Manhattan / Hunter Science High School,444,13,0.03,6,0,0,7,0
24Q077,I.S. 077,1035,65,0.06,17,0,0,46,2
03M700,Universal Pre-K C.B.O.,558,93,0.17,25,18,7,66,2
03M859,Special Music School,314,10,0.03,0,0,0,0,10
03M860,Frederick Douglass Academy II Secondary School,368,52,0.14,20,13,7,26,6
03M862,Mott Hall II,354,38,0.11,9,0,0,28,1
04M007,P.S. 007 Samuel Stern,380,105,0.28,43,30,13,59,3
04M012,Tag Young Scholars,588,13,0.02,0,0,0,10,3
04M037,River East Elementary,198,38,0.19,9,0,0,28,1
04M038,P.S. 38 Roberto Clemente,241,97,0.40,48,38,10,46,3
04M050,P.S. 050 Vito Marcantonio,247,53,0.21,37,29,8,16,0
04M057,James Weldon Johnson,845,227,0.27,76,48,28,144,7
04M072,The Lexington Academy,666,160,0.24,52,40,12,105,3
04M083,P.S. 083 Luis Munoz Rivera,474,42,0.09,24,14,10,17,1
04M096,P.S. 096 Joseph Lanzetta,434,93,0.21,39,23,16,45,9
04M102,P.S. 102 Jacques Cartier,336,60,0.18,23,0,0,34,3
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,482,83,0.17,36,26,10,42,5
04M112,P.S. 112 Jose Celso Barbosa,328,51,0.16,22,0,0,27,2
04M146,P.S. 146 Ann M. Short,369,114,0.31,56,46,10,55,3
04M155,P.S. 155 William Paca,265,37,0.14,13,0,0,24,0
04M171,P.S. 171 Patrick Henry,734,76,0.10,23,16,7,50,3
04M182,The Bilingual Bicultural School,327,101,0.31,15,0,0,86,0
04M206,P.S. 206 Jose Celso Barbosa,481,78,0.16,32,21,11,42,4
04M224,M.S. 224 Manhattan East School for Arts & Academic,174,15,0.09,0,0,0,10,5
04M310,THE JUDITH S. KAYE HIGH SCHOOL,96,11,0.11,11,0,0,0,0
04M372,Esperanza Preparatory Academy,604,112,0.19,31,21,10,67,14
04M375,Mosaic Preparatory Academy,333,101,0.30,45,36,9,56,0
04M377,Renaissance School of the Arts,148,30,0.20,12,0,0,18,0
04M406,Global Technology Preparatory,116,26,0.22,11,0,0,12,3
04M409,Coalition School for Social Change,124,18,0.15,8,0,0,8,2
04M435,Manhattan Center for Science and Mathematics,1629,112,0.07,16,0,0,80,16
04M444,Home Schooling,65,8,0.12,0,0,0,0,8
12X383,Emolior Academy,279,52,0.19,17,0,0,34,1
04M495,Park East High School,404,31,0.08,8,0,0,23,0
04M497,Central Park East I,205,15,0.07,0,0,0,10,5
04M555,Central Park East High School,497,40,0.08,12,0,0,24,4
04M610,Young Women's Leadership School,484,25,0.05,8,0,0,17,0
04M680,"Heritage School, The",303,36,0.12,15,0,0,16,5
04M700,Universal Pre-K C.B.O.,483,78,0.16,25,19,6,51,2
04M825,Isaac Newton Middle School for Math & Science,193,23,0.12,8,0,0,13,2
04M964,Central Park East II,455,39,0.09,19,0,0,17,3
05M030,P.S. 030 Hernandez/Hughes,265,75,0.28,26,0,0,49,0
05M036,P.S. 036 Margaret Douglas,403,64,0.16,34,26,8,14,16
05M046,P.S. 046 Arthur Tappan,697,151,0.22,72,53,19,72,7
05M092,P.S. 092 Mary McLeod Bethune,294,103,0.35,62,0,0,30,11
05M123,P.S. 123 Mahalia Jackson,515,175,0.34,95,46,49,78,2
05M125,P.S. 125 Ralph Bunche,315,30,0.10,7,0,0,22,1
05M129,P.S. 129 John H. Finley,441,106,0.24,55,31,24,49,2
05M133,P.S. 133 Fred R Moore,244,68,0.28,29,0,0,38,1
05M148,Eagle Academy for Young Men of Harlem,341,30,0.09,13,6,7,16,1
05M154,P.S. 154 Harriet Tubman,306,82,0.27,36,21,15,44,2
05M157,The Urban Assembly School for Global Commerce,240,24,0.10,11,0,0,10,3
05M161,P.S. 161 Pedro Albizu Campos,866,221,0.26,55,37,18,150,16
05M175,P.S. 175 Henry H Garnet,359,90,0.25,74,65,9,10,6
05M194,P.S. 194 Countee Cullen,246,73,0.30,41,0,0,31,1
05M197,P.S. 197 John B. Russwurm,338,99,0.29,62,44,18,35,2
05M200,P.S. 200- The James Mccune Smith School,411,107,0.26,82,58,24,24,1
05M285,Harlem Renaissance High School,262,28,0.11,15,6,9,9,4
05M286,Urban Assembly Academy for Future Leaders,188,40,0.21,30,22,8,9,1
05M302,KAPPA IV,135,32,0.24,18,0,0,12,2
05M304,Mott Hall High School,323,58,0.18,24,14,10,28,6
05M318,Thurgood Marshall Academy Lower School,222,30,0.14,8,0,0,20,2
05M362,Columbia Secondary School,707,37,0.05,7,0,0,26,4
05M367,Academy for Social Action,88,18,0.20,8,0,0,9,1
05M369,Urban Assembly School for the Performing Arts,353,36,0.10,22,14,8,10,4
05M444,Home Schooling,118,11,0.09,8,0,0,0,3
05M499,Frederick Douglass Academy,1365,139,0.10,68,38,30,57,14
05M514,New Design Middle School,143,28,0.20,15,8,7,10,3
05M517,Teachers College Community School,291,20,0.07,0,0,0,16,4
05M670,Thurgood Marshall Academy for Learning and Social,550,58,0.11,25,16,9,26,7
05M692,"High School for Mathematics, Science and Engineeri",497,11,0.02,0,0,0,11,0
05M700,Universal Pre-K C.B.O.,631,97,0.15,47,32,15,48,2
06M004,P.S. 004 Duke Ellington,578,89,0.15,18,0,0,68,3
06M005,P.S. 005 Ellen Lurie,622,27,0.04,16,0,0,0,11
06M008,P.S. 008 Luis Belliard,544,53,0.10,10,0,0,42,1
06M018,P.S. 018 Park Terrace,364,109,0.30,0,0,0,109,0
06M028,P.S. 028 Wright Brothers,717,202,0.28,53,30,23,141,8
06M048,P.S. 048 P.O. Michael J. Buczek,578,112,0.19,13,0,0,98,1
06M052,J.H.S. 052 Inwood,289,55,0.19,7,0,0,46,2
06M098,P.S. 098 Shorac Kappock,509,96,0.19,7,0,0,88,1
06M103,Dos Puentes Elementary School,357,89,0.25,10,0,0,78,1
06M115,P.S. 115 Alexander Humboldt,500,129,0.26,18,0,0,108,3
06M128,P.S. 128 Audubon,660,206,0.31,15,0,0,190,1
06M132,P.S. 132 Juan Pablo Duarte,314,70,0.22,16,0,0,54,0
06M143,J.H.S. 143 Eleanor Roosevelt,286,47,0.16,13,0,0,33,1
06M152,P.S. 152 Dyckman Valley,607,274,0.45,18,0,0,252,4
06M153,P.S. 153 Adam Clayton Powell,621,138,0.22,34,23,11,101,3
06M173,P.S. 173,527,33,0.06,17,0,0,16,0
06M178,Professor Juan Bosch Public School,298,48,0.16,0,0,0,46,2
06M187,P.S./I.S. 187 Hudson Cliffs,812,38,0.05,0,0,0,35,3
06M189,P.S. 189,836,87,0.10,20,0,0,58,9
06M192,P.S. 192 Jacob H. Schiff,454,54,0.12,33,0,0,20,1
06M209,Hamilton Grange Middle School,275,45,0.16,11,0,0,31,3
06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,432,36,0.08,12,0,0,24,0
06M211,Inwood Early College for Health and Information Te,381,37,0.10,0,0,0,30,7
06M218,I.S. 218 Salome Urena,184,46,0.25,6,0,0,38,2
06M223,The Mott Hall School,289,20,0.07,7,0,0,12,1
06M278,Paula Hedbavny School,580,45,0.08,10,0,0,33,2
06M293,City College Academy of the Arts,613,55,0.09,10,0,0,44,1
06M311,Amistad Dual Language School,397,73,0.18,6,0,0,67,0
06M314,Muscota,293,8,0.03,0,0,0,7,1
06M319,M.S. 319 - Maria Teresa,422,68,0.16,9,0,0,56,3
06M322,Middle School 322,336,110,0.33,0,0,0,104,6
06M324,M.S. 324 - Patria Mirabal,423,63,0.15,23,13,10,34,6
06M328,Community Math & Science Prep,262,50,0.19,17,0,0,33,0
06M346,Community Health Academy of the Heights,720,98,0.14,21,13,8,76,1
06M348,Washington Heights Expeditionary Learning School,853,95,0.11,14,0,0,76,5
06M349,Harbor Heights,150,37,0.25,10,0,0,27,0
06M366,Washington Heights Academy,595,44,0.07,0,0,0,43,1
06M368,Hamilton Heights School,174,31,0.18,6,0,0,23,2
06M423,High School for Excellence and Innovation,207,39,0.19,7,0,0,32,0
06M444,Home Schooling,131,0,0,0,0,0,0,0
06M457,George Washington Yabc,100,21,0.21,0,0,0,16,5
06M462,The College Academy,459,91,0.20,14,0,0,76,1
06M463,High School for Media and Communications,432,138,0.32,16,10,6,119,3
06M467,High School for Law and Public Service,566,113,0.20,20,11,9,86,7
06M468,High School for Health Careers and Sciences,454,85,0.19,21,15,6,62,2
06M513,Castle Bridge School,229,42,0.18,0,0,0,36,6
06M528,I.S. 528 Bea Fuller Rodgers School,225,37,0.16,0,0,0,37,0
06M540,A. Philip Randolph Campus High School,1378,160,0.12,65,35,30,83,12
06M552,Gregorio Luperon High School for Science and Mathe,547,178,0.33,13,0,0,165,0
06M700,Universal Pre-K C.B.O.,970,226,0.23,17,0,0,174,35
07X001,P.S. 001 Courtlandt School,688,160,0.23,69,45,24,86,5
07X005,P.S. 5 Port Morris,759,189,0.25,86,71,15,100,3
07X018,P.S. 018 John Peter Zenger,628,155,0.25,53,45,8,91,11
07X025,P.S. 025 Bilingual School,575,102,0.18,40,31,9,58,4
07X029,P.S./M.S. 029 Melrose School,846,154,0.18,61,52,9,81,12
07X030,P.S. 030 Wilton,598,117,0.20,63,52,11,52,2
07X031,P.S./M.S. 031 The William Lloyd Garrison,736,182,0.25,51,43,8,116,15
07X043,P.S. 043 Jonas Bronck,506,102,0.20,51,40,11,45,6
07X049,P.S. 049 Willis Avenue,685,156,0.23,60,37,23,93,3
07X065,P.S. 065 Mother Hale Academy,431,184,0.43,111,95,16,67,6
07X151,J.H.S. 151 Lou Gehrig,281,85,0.30,28,0,0,55,2
07X154,P.S. 154 Jonathan D. Hyatt,365,50,0.14,33,20,13,8,9
07X157,P.S. 157 Grove Hill,678,123,0.18,60,44,16,61,2
75M035,P.S. 035,379,51,0.13,31,20,11,6,14
07X161,P.S. 161 Juan Ponce De Leon School,513,100,0.19,51,42,9,46,3
07X179,P.S. 179,338,82,0.24,40,0,0,37,5
07X221,South Bronx Preparatory: A College Board School,687,75,0.11,29,16,13,44,2
07X223,The Laboratory School of Finance and Technology: X,689,67,0.10,21,10,11,39,7
07X224,P.S./I.S. 224,364,79,0.22,32,0,0,42,5
07X259,"H.E.R.O. High (Health, Education, and Research Occ",498,78,0.16,35,20,15,37,6
07X277,P.S. 277,498,96,0.19,35,0,0,58,3
07X296,South Bronx Academy for Applied Media,259,50,0.19,26,14,12,19,5
07X298,Academy of Public Relations,263,60,0.23,25,18,7,29,6
07X334,International Community High School,440,113,0.26,21,0,0,90,2
07X343,Academy of Applied Mathematics and Technology,303,35,0.12,13,0,0,18,4
07X359,Concourse Village Elementary School,368,71,0.19,15,0,0,54,2
07X369,Young Leaders Elementary School,270,96,0.36,23,0,0,68,5
07X379,Jill Chaifetz Transfer High School,238,27,0.11,17,9,8,7,3
07X381,Bronx Haven High School,193,29,0.15,13,7,6,9,7
07X427,Community School for Social Justice,320,54,0.17,30,21,9,23,1
07X444,Home Schooling,86,10,0.12,10,0,0,0,0
07X456,Alfred E. Smith Campus YABC,122,9,0.07,0,0,0,0,9
07X473,Mott Haven Village Preparatory High School,401,48,0.12,23,0,0,19,6
07X495,University Heights Secondary School,487,35,0.07,9,0,0,24,2
07X500,Hostos-Lincoln Academy of Science,519,43,0.08,20,13,7,18,5
07X522,Bronx Design and Construction Academy,503,66,0.13,29,20,9,30,7
07X527,Bronx Leadership Academy II High School,552,69,0.13,26,18,8,36,7
07X533,Learning through Play Pre-K Center,216,46,0.21,15,8,7,30,1
07X547,New Explorers High School,288,42,0.15,15,6,9,25,2
07X548,Careers in Sports High School,536,86,0.16,33,18,15,44,9
07X551,The Urban Assembly Bronx Academy of Letters,599,69,0.12,24,15,9,40,5
07X557,Mott Haven Community High School,269,31,0.12,19,0,0,8,4
07X584,I.S. 584,287,55,0.19,23,14,9,30,2
07X600,Alfred E. Smith Career and Technical Education Hig,459,71,0.15,30,17,13,35,6
07X670,Health Opportunities High School,512,68,0.13,27,18,9,33,8
07X700,Universal Pre-K C.B.O.,791,110,0.14,49,32,17,51,10
08X014,P.S. X014 Senator John Calandra,561,51,0.09,9,0,0,36,6
08X036,P.S. 036 Unionport,783,81,0.10,16,0,0,63,2
08X048,P.S. 048 Joseph R. Drake,767,239,0.31,115,88,27,114,10
08X062,P.S. 062 Inocensio Casanova,738,168,0.23,108,87,21,44,16
08X069,P.S. 069 Journey Prep School,641,88,0.14,37,21,16,39,12
08X071,P.S. 071 Rose E. Scala,1693,64,0.04,26,0,0,35,3
08X072,P.S. 072 Dr. William Dorney,873,109,0.12,43,33,10,64,2
08X075,P.S. 75 School of Research and Discovery,665,140,0.21,88,74,14,50,2
08X093,P.S. 093 Albert G. Oliver,357,40,0.11,16,0,0,20,4
08X100,P.S. 100 Isaac Clason,627,109,0.17,57,45,12,50,2
08X101,M.S. X101 Edward R. Byrne,528,24,0.05,6,0,0,17,1
08X107,P.S. 107,549,135,0.25,70,50,20,62,3
08X119,The Dr. Emmett W. Bassett School,908,100,0.11,21,14,7,72,7
08X123,J.H.S. 123 James M. Kieran,376,86,0.23,39,28,11,44,3
08X125,J.H.S. 125 Henry Hudson,378,54,0.14,9,0,0,43,2
08X130,P.S. 130 Abram Stevens Hewitt,513,107,0.21,53,45,8,49,5
08X131,J.H.S. 131 Albert Einstein,482,86,0.18,36,25,11,50,0
08X138,P.S. 138 Samuel Randall,746,134,0.18,30,0,0,101,3
08X140,P.S. X140 The Eagle School,675,141,0.21,59,51,8,73,9
08X146,P.S. 146 Edward Collins,443,83,0.19,48,37,11,31,4
08X152,P.S. 152 Evergreen,869,235,0.27,95,65,30,134,6
08X182,P.S. 182,914,63,0.07,39,33,6,20,4
08X269,Bronx Studio School for Writers and Artists,661,81,0.12,47,30,17,30,4
08X282,Women's Academy of Excellence,285,48,0.17,24,0,0,17,7
08X293,Renaissance High School for Musical Theater & Tech,487,53,0.11,26,12,14,27,0
08X301,M.S. 301 Paul L. Dunbar,263,54,0.21,18,0,0,33,3
08X302,M.S. 302 Luisa Dessus Cruz,515,122,0.24,56,41,15,65,1
08X304,P.S. 304 Early Childhood School,520,13,0.03,0,0,0,9,4
08X312,Millennium Art Academy,446,54,0.12,28,17,11,21,5
08X320,Pelham Lab High School,473,47,0.10,18,10,8,26,3
08X332,Holcombe L. Rucker School of Community Research,149,24,0.16,10,0,0,10,4
08X333,The Longwood Academy of Discovery,655,194,0.30,78,63,15,107,9
08X337,The School for Inquiry and Social Justice,519,55,0.11,19,8,11,33,3
08X348,Schuylerville Preparatory High School,386,40,0.10,18,0,0,17,5
08X349,Bronx River High School,440,52,0.12,11,0,0,34,7
08X367,"Archimedes Academy for Math, Science and Technolog",704,99,0.14,39,28,11,56,4
08X371,Urban Institute of Mathematics,362,29,0.08,6,0,0,20,3
08X375,The Bronx Mathematics Preparatory School,243,62,0.26,26,0,0,30,6
08X376,Antonia Pantoja Preparatory Academy: A College Boa,425,70,0.16,28,19,9,35,7
08X377,Bronx Community High School,217,15,0.07,10,0,0,0,5
08X392,Bronx Delta School,292,20,0.07,0,0,0,13,7
08X405,Herbert H. Lehman High School,751,57,0.08,30,14,16,27,0
08X408,Herbert H. Lehman Yabc,205,16,0.08,8,0,0,8,0
08X424,The Hunts Point School,323,78,0.24,34,26,8,40,4
08X432,Bronx Bridges High School,365,91,0.25,27,0,0,63,1
08X444,Home Schooling,210,28,0.13,16,0,0,10,2
08X448,Soundview Academy for Culture and Scholarship,397,51,0.13,16,8,8,27,8
08X452,Gotham Collaborative High School,534,70,0.13,34,17,17,29,7
08X467,Mott Hall Community School,358,52,0.15,25,15,10,26,1
08X507,Stevenson Yabc,94,6,0.06,0,0,0,0,6
08X519,Felisa Rincon de Gautier Institute for Law and Pub,143,17,0.12,0,0,0,10,7
08X530,Longwood Preparatory Academy,192,34,0.18,13,0,0,19,2
08X537,Bronx Arena High School,214,25,0.12,9,0,0,8,8
08X558,Westchester Square Academy,626,51,0.08,24,17,7,21,6
08X559,School for Tourism and Hospitality,341,77,0.23,36,25,11,37,4
08X561,Bronx Compass High School,468,49,0.10,33,22,11,16,0
08X562,Blueprint Middle School,350,48,0.14,10,0,0,35,3
08X583,P.S. 583,121,12,0.10,0,0,0,9,3
08X700,Universal Pre-K C.B.O.,1191,104,0.09,35,0,0,63,6
09X004,P.S./M.S. 004 Crotona Park West,608,281,0.46,237,217,20,37,7
09X011,P.S. 011 Highbridge,622,141,0.23,51,0,0,87,3
09X022,J.H.S. 022 Jordan L. Mott,465,78,0.17,54,35,19,22,2
09X028,P.S. 028 Mount Hope,787,233,0.30,95,74,21,132,6
09X035,P.S. 035 Franz Siegel,687,118,0.17,36,20,16,79,3
09X042,P.S. 042 Claremont,460,137,0.30,97,83,14,35,5
09X053,P.S. 053 Basheer Quisim,1167,364,0.31,191,158,33,165,8
09X055,P.S. 055 Benjamin Franklin,648,102,0.16,53,43,10,49,0
09X058,P.S. 058,484,109,0.23,57,44,13,48,4
09X063,P.S. 063 Author's Academy,619,137,0.22,63,48,15,63,11
09X070,P.S. 070 Max Schoenfeld,1275,344,0.27,123,96,27,210,11
09X073,P.S. 073 Bronx,730,192,0.26,72,54,18,117,3
09X088,P.S. X088 - S. Silverstein Little Sparrow School,144,58,0.40,16,0,0,42,0
09X109,P.S. 109 Sedgwick,686,82,0.12,28,0,0,54,0
09X110,P.S. 110 Theodore Schoenfeld,459,104,0.23,45,39,6,57,2
09X114,P.S. X114 - Luis Llorens Torres Schools,776,277,0.36,86,76,10,191,0
09X117,I.S. 117 Joseph H. Wade,531,178,0.34,42,35,7,128,8
09X126,P.S. 126 Dr Marjorie H Dunbar,619,112,0.18,57,51,6,52,3
09X128,Mott Hall III,374,34,0.09,12,0,0,20,2
09X132,P.S. 132 Garret A. Morgan,395,96,0.24,48,26,22,41,7
09X163,P.S. 163 Arthur A. Schomburg,491,108,0.22,12,0,0,93,3
09X170,P.S. 170,270,59,0.22,20,0,0,39,0
09X199,P.S. 199X - The Shakespeare School,797,254,0.32,88,80,8,164,2
09X204,P.S. 204 Morris Heights,648,116,0.18,45,28,17,67,4
09X215,Kappa,319,57,0.18,22,15,7,29,6
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,1012,157,0.16,17,0,0,139,1
09X219,I.S. 219 New Venture School,372,85,0.23,36,24,12,46,3
09X227,Bronx Collegiate Academy,391,57,0.15,22,10,12,32,3
09X229,I.S. 229 Roland Patterson,262,58,0.22,34,23,11,17,7
09X231,Eagle Academy for Young Men,529,44,0.08,11,0,0,27,6
09X232,I.S. 232,513,112,0.22,46,36,10,64,2
09X236,P.S. 236 Langston Hughes,302,61,0.20,12,0,0,46,3
09X241,Urban Assembly School for Applied Math and Science,624,59,0.09,19,0,0,35,5
09X250,Eximius College Preparatory Academy: A College Boa,429,51,0.12,26,16,10,24,1
09X252,Mott Hall Bronx High School,392,37,0.09,21,13,8,15,1
09X260,Bronx Center for Science and Mathematics,462,39,0.08,8,0,0,29,2
09X263,Validus Preparatory Academy,404,70,0.17,38,28,10,30,2
09X274,The New American Academy at Roberto Clemente State,845,180,0.21,91,74,17,74,15
09X294,The Walton Avenue School,545,174,0.32,56,48,8,115,3
10X213,Bronx Engineering and Technology Academy,418,57,0.14,16,0,0,28,13
09X297,Morris Academy for Collaborative Studies,400,54,0.14,28,17,11,22,4
09X303,I.S. X303 Leadership & Community Service,338,50,0.15,12,0,0,36,2
09X311,Lucero Elementary School,418,126,0.30,32,0,0,93,1
09X313,I.S. 313 School of Leadership Development,342,70,0.20,35,20,15,30,5
09X323,Bronx Writing Academy,465,105,0.23,53,41,12,46,6
09X324,Bronx Early College Academy for Teaching & Learnin,516,63,0.12,28,21,7,30,5
09X325,Urban Science Academy,313,84,0.27,40,30,10,40,4
09X327,Comprehensive Model School Project M.S. 327,754,102,0.14,18,10,8,71,13
09X328,New Millennium Business Academy Middle School,275,70,0.25,33,26,7,35,2
09X329,DreamYard Preparatory School,285,61,0.21,30,24,6,26,5
09X339,I.S. 339,533,129,0.24,57,41,16,66,6
09X350,New Directions Secondary School,240,59,0.25,30,22,8,24,5
09X361,The Highbridge Green School,412,63,0.15,16,0,0,44,3
09X365,Academy for Language and Technology,339,128,0.38,15,0,0,113,0
09X403,Bronx International High School,431,147,0.34,35,22,13,100,12
09X404,School for Excellence,377,68,0.18,42,29,13,24,2
09X412,Bronx High School of Business,280,58,0.21,23,0,0,32,3
09X413,Bronx High School for Medical Science,433,32,0.07,12,6,6,20,0
09X443,The Family School,582,141,0.24,47,40,7,87,7
09X444,Home Schooling,95,20,0.21,18,12,6,0,2
09X449,Grant Avenue Elementary School,464,98,0.21,43,0,0,53,2
09X454,Science and Technology Academy: A Mott Hall School,464,80,0.17,20,8,12,59,1
09X457,Sheridan Academy for Young Leaders,488,111,0.23,38,31,7,68,5
09X505,"Bronx School for Law, Government and Justice",791,92,0.12,27,14,13,62,3
09X517,Frederick Douglass Academy III Secondary School,449,85,0.19,42,29,13,42,1
09X525,Bronx Leadership Academy High School,604,97,0.16,47,29,18,47,3
09X543,High School for Violin and Dance,277,62,0.22,36,24,12,22,4
09X555,Mount Eden Children's Academy,432,56,0.13,8,0,0,48,0
09X564,Claremont International HS,393,123,0.31,20,12,8,100,3
09X568,Young Women's Leadership School of the Bronx,461,29,0.06,11,0,0,16,2
09X582,Garden of Learning and Discovery Pre-K Center,103,19,0.18,18,0,0,0,1
09X700,Universal Pre-K C.B.O.,1685,342,0.20,93,77,16,240,9
10X003,P.S. 3 Raul Julia Micro Society,352,88,0.25,13,0,0,75,0
10X007,Milton Fein School,780,153,0.20,18,0,0,135,0
10X008,P.S. 008 Isaac Varian,1032,164,0.16,52,42,10,108,4
10X009,P.S. 9 Ryer Avenue Elementary School,899,267,0.30,76,62,14,188,3
10X015,P.S. X015 Institute for Environmental Learning,482,79,0.16,12,0,0,64,3
10X020,"P.S./M.S. 20 P.O.George J. Werdann, III",1114,182,0.16,61,40,21,115,6
10X023,P.S. 023 The New Children's School,510,165,0.32,97,89,8,67,1
10X024,P.S. 024 Spuyten Duyvil,927,30,0.03,8,0,0,21,1
10X032,P.S. 032 Belmont,871,217,0.25,88,74,14,121,8
10X033,P.S. 033 Timothy Dwight,962,80,0.08,53,36,17,26,1
10X037,P.S. X037 - Multiple Intelligence School,659,131,0.20,27,19,8,101,3
10X045,Thomas C. Giordano Middle School 45,738,108,0.15,24,15,9,79,5
10X046,P.S. 046 Edgar Allan Poe,979,285,0.29,57,47,10,223,5
10X051,P.S. 051 Bronx New School,216,24,0.11,12,0,0,12,0
10X054,P.S./I.S. 54,507,126,0.25,18,0,0,99,9
10X056,P.S. 056 Norwood Heights,734,152,0.21,25,16,9,122,5
10X059,P.S. 059 The Community School of Technology,597,157,0.26,69,50,19,82,6
10X077,Bedford Park Elementary School,371,81,0.22,12,0,0,56,13
10X080,J.H.S. 080 The Mosholu Parkway,700,173,0.25,32,24,8,138,3
10X081,P.S. 081 Robert J. Christen,807,49,0.06,6,0,0,42,1
10X085,P.S. 085 Great Expectations,1006,208,0.21,117,91,26,84,7
10X086,P.S. 086 Kingsbridge Heights,1704,410,0.24,42,0,0,364,4
10X091,P.S. 091 Bronx,765,271,0.35,74,55,19,189,8
10X094,P.S. 094 Kings College School,1316,260,0.20,50,38,12,205,5
10X095,P.S. 095 Sheila Mencher,1338,299,0.22,58,27,31,239,2
10X118,J.H.S. 118 William W. Niles,1206,217,0.18,93,77,16,115,9
10X141,Riverdale / Kingsbridge Academy (Middle School / H,1534,117,0.08,12,0,0,99,6
10X159,P.S. 159 Luis Munoz Marin Biling,194,43,0.22,8,0,0,33,2
10X205,P.S. 205 Fiorello LaGuardia,1042,165,0.16,84,55,29,80,1
10X206,I.S. 206 Ann Mersereau,217,62,0.29,25,17,8,37,0
10X207,P.S. 207,330,77,0.23,17,0,0,60,0
10X209,P.S. 209,260,67,0.26,8,0,0,58,1
10X225,Theatre Arts Production Company School,606,65,0.11,28,14,14,34,3
10X226,P.S. 226,495,137,0.28,15,0,0,115,7
10X228,Jonas Bronck Academy,269,22,0.08,0,0,0,20,2
10X237,"The Marie Curie School for Medicine, Nursing, and",538,64,0.12,22,15,7,36,6
10X243,West Bronx Academy for the Future,595,78,0.13,23,16,7,52,3
10X244,The New School for Leadership and Journalism,769,162,0.21,21,13,8,135,6
10X246,P.S. 246 Poe Center,763,169,0.22,23,0,0,143,3
10X254,I.S. 254,506,107,0.21,21,0,0,86,0
10X264,Bronx Academy for Software Engineering (BASE),441,43,0.10,18,9,9,23,2
10X268,Kingsbridge International High School,494,157,0.32,19,0,0,132,6
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",1123,358,0.32,80,65,15,276,2
10X280,P.S./M.S. 280 Mosholu Parkway,899,160,0.18,22,16,6,123,15
10X284,Bronx School of Law and Finance,415,52,0.13,23,11,12,25,4
10X291,P.S. 291,664,136,0.20,36,28,8,100,0
10X306,P.S. 306,731,160,0.22,55,45,10,101,4
10X307,Luisa Pineiro Fuentes School of Science and Discov,397,108,0.27,9,0,0,97,2
10X308,Bronx Dance Academy School,267,34,0.13,15,7,8,17,2
10X310,P.S. 310 Marble Hill,781,226,0.29,26,20,6,198,2
10X315,P.S. 315 Lab School,249,40,0.16,6,0,0,34,0
10X319,Providing Urban Learners Success In Education High,293,31,0.11,25,12,13,0,6
10X331,The Bronx School of Young Leaders,421,59,0.14,21,0,0,36,2
10X340,P.S. 340,670,191,0.29,44,0,0,147,0
10X342,International School for Liberal Arts,559,176,0.31,18,0,0,157,1
10X344,Ampark Neighborhood,399,39,0.10,0,0,0,34,5
10X351,Bronx Collaborative High School,572,91,0.16,30,19,11,60,1
10X353,World View High School,516,85,0.16,18,9,9,64,3
10X360,P.S. 360,509,94,0.18,11,0,0,83,0
10X363,Academy For Personal Leadership And Excellence,569,96,0.17,18,0,0,77,1
10X368,In-Tech Academy (M.S. / High School 368),1021,104,0.10,9,0,0,94,1
10X374,Knowledge and Power Preparatory Academy Internatio,489,40,0.08,15,0,0,25,0
10X382,"Elementary School for Math, Science, and Technolog",298,103,0.35,28,0,0,73,2
10X386,School for Environmental Citizenship,610,199,0.33,25,16,9,171,3
10X390,M.S. 390,564,196,0.35,33,20,13,160,3
10X391,The Angelo Patri Middle School,546,142,0.26,47,30,17,89,6
10X396,P.S. 396,341,99,0.29,31,0,0,66,2
10X397,English Language Learners and International Suppor,413,160,0.39,26,18,8,129,5
10X433,High School for Teaching and the Professions,443,49,0.11,13,7,6,33,3
10X434,Belmont Preparatory High School,404,30,0.07,8,0,0,21,1
10X437,Fordham High School for the Arts,347,33,0.10,13,7,6,17,3
10X438,Fordham Leadership Academy,335,49,0.15,19,11,8,29,1
10X439,Bronx High School for Law and Community Service,441,46,0.10,13,7,6,26,7
10X440,DeWitt Clinton High School,1271,170,0.13,59,40,19,103,8
10X442,"Celia Cruz Bronx High School of Music, The",419,26,0.06,12,0,0,14,0
10X444,Home Schooling,172,21,0.12,11,0,0,10,0
10X445,The Bronx High School of Science,2991,14,0.00,0,0,0,10,4
10X447,Creston Academy,488,103,0.21,13,0,0,90,0
10X459,East Fordham Academy for the Arts,301,67,0.22,15,8,7,50,2
10X477,Marble Hill High School for International Studies,442,59,0.13,6,0,0,49,4
10X503,Walton Yabc,114,20,0.18,0,0,0,13,7
10X504,Kennedy Yabc,92,7,0.08,0,0,0,0,7
10X524,Crotona International High School,367,99,0.27,13,0,0,80,6
10X535,Rose Hill Pre-K Center,362,91,0.25,12,0,0,76,3
10X546,Bronx Theatre High School,397,60,0.15,33,18,15,24,3
10X549,Discovery High School,473,71,0.15,17,9,8,42,12
