DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up,# Others
75Q721,John F. Kennedy Jr. School,509,27,0.05,9,0,0,13,5
75Q752,Queens Transition Center,411,45,0.11,30,21,9,6,9
75Q811,P.S. Q811,420,16,0.04,8,0,0,0,8
75Q993,P.S. Q993,573,10,0.02,0,0,0,7,3
75R025,South Richmond High School I.S./P.S. 25,599,24,0.04,14,8,6,0,10
75R037,P.S. R037,404,12,0.03,6,0,0,0,6
75R373,P.S. R373,585,38,0.06,23,0,0,11,4
75R405,Hospital Schools - Staten Island,12,0,0,0,0,0,0,0
75R444,Home Schooling,13,0,0,0,0,0,0,0
75R505,Home Instruction - S.I.,24,0,0,0,0,0,0,0
75R721,The Richard H. Hungerford School,482,36,0.07,16,0,0,18,2
75X010,P.S. X010,585,74,0.13,41,34,7,31,2
75X012,P.S. X012 Lewis and Clark School,294,41,0.14,24,15,9,10,7
75X017,P.S. X017,449,59,0.13,42,31,11,9,8
75X168,P.S. 168,569,96,0.17,41,0,0,38,17
75X176,P.S. X176,949,50,0.05,36,0,0,9,5
75X186,P186X Walter J. Damrosch School,713,127,0.18,96,74,22,23,8
75X188,P.S. X188,490,68,0.14,42,28,14,19,7
75X352,The Vida Bogart School for All Children,510,89,0.17,57,41,16,26,6
75X402,Hospital Schools - Bronx,85,7,0.08,6,0,0,0,1
75X444,Home Schooling,22,0,0,0,0,0,0,0
75X469,P469X - The Bronx School for Continuous Learners,337,48,0.14,20,10,10,28,0
75X502,Home Instruction - Bronx,112,0,0,0,0,0,0,0
75X721,P.S. X721 - Stephen McSweeney School,542,33,0.06,21,0,0,11,1
75X723,P.S. 723,505,83,0.16,58,37,21,12,13
75X754,J. M. Rapport School Career Development,545,99,0.18,57,28,29,20,22
75X811,P.S. X811,649,58,0.09,36,21,15,17,5
79M645,School for Cooperative Technical Education,963,66,0.07,27,10,17,30,9
79M921,District 79 Youth Justice and Treatment Programs,120,20,0.17,7,0,0,0,13
79M973,Restart Academy,779,268,0.34,34,17,17,16,218
79Q344,East River Academy,720,122,0.17,47,14,33,30,45
79Q950,Pathways to Graduation,6995,955,0.14,391,196,195,343,221
79X695,Passages Academy,242,30,0.12,17,0,0,0,13
